,No,Rider,Front,Rear,Heat1,Pena-1,Heat2,Pena-2,Time,Rating[%],Date,Season,Manufacturer,Class,Machine
480,161,作田 隆義,D:α-13SP,D:α-13SP,"1'26""834",0,"1'26""673",0,"1'26""673",101.0,2019-09-28,2019,Kawasaki,A,Ninja400
481,141,作田 隆義,D:α-13SP,D:α-13SP,"1'36""398",0,"1'36""131",0,"1'36""131",102.45,2018-08-18,2018,Kawasaki,A,Ninja400
482,104,木下 健三,D:α-13SP,D:α-13SP,"1'30""330",0,"1'28""748",0,"1'28""748",118.33,2018-10-20,2018,Suzuki,D1,DR-Z400SM
483,123,佐藤 洋之,D:,TT93GP,"1'36""366",0,"1'35""019",0,"1'35""019",126.69,2018-10-20,2018,Kawasaki,D3,KSR-2
484,125,五十嵐 一生,P:,スーパーコルサ,"1'42""759",0,"1'23""755",1,"1'24""755",113.01,2018-10-20,2018,Honda,C2,NSR250R
485,127,五十嵐 一生,D:α-13SP,D:α-13SP,"1'28""120",4,"1'27""750",1,"1'28""750",111.34,2018-05-03,2018,Suzuki,C2,DR-Z400SM
486,126,岡部 真希,D:α-13SP,D:α-13SP,"1'30""878",1,"1'29""419",0,"1'29""419",119.23,2018-10-20,2018,Honda,C2,VTR250
487,127,岡部 正寛,P:,スーパーコルサV2,"1'25""398",0,"1'24""361",0,"1'24""361",112.48,2018-10-20,2018,Suzuki,C2,DR-Z400SM
488,135,和木 晴彦,D:α-14,D:α-14,"1'26""290",0,"1'26""765",0,"1'26""290",115.05,2018-10-20,2018,Yamaha,C2,MT-03
489,140,畑 和秀,P:,スーパーコルサV2,"1'27""482",0,"1'25""752",0,"1'25""752",114.34,2018-10-20,2018,Suzuki,C2,DR-Z400SM
490,148,高橋 保久,D:/α-13SP,P:,"1'26""498",0,"1'25""209",0,"1'25""209",113.61,2018-10-20,2018,Honda,C2,VTR250
491,150,濱田 令,α-13SP,α-13SP,"1'21""516",0,"1'20""342",2,"1'21""516",108.69,2018-10-20,2018,Suzuki,B,DR-Z400SM
492,140,濱田 令,P:スーパーコルサV3,P:スーパーコルサV3,"1'25""265",4,"1'25""432",1,"1'26""432",104.88,2020-10-03,2020,Yamaha,B,YZ250X
493,136,関 吉美智,D:α-13SP,D:α-13SP,"1'24""629",0,"1'23""960",1,"1'24""629",106.17,2018-05-03,2018,Suzuki,A,GSX-R1000
494,153,関 吉美智,D:α-13SP,D:Q4,"1'21""409",1,"1'21""631",0,"1'21""631",105.6,2019-06-16,2019,Suzuki,A,GSX-R1000
495,143,関 吉美智,D:α-13SP,D:α-13SP,"1'38""429",0,"1'37""619",1,"1'38""429",104.9,2018-08-18,2018,Suzuki,A,GSX-R1000
496,116,杉山 卓司,D:α-14,D:α-14,"1'33""428",0,"1'31""326",0,"1'31""326",118.14,2019-06-16,2019,Kawasaki,D1,Z250
497,140,下町 勝大,D:TT93GP,D:TT93GP,"1'24""347",1,"1'27""635",0,"1'25""347",110.41,2019-06-16,2019,Kawasaki,C1,Z125
498,140,下町 勝大,D:TT93GP,D:TT93GP,"1'35""271",0,"1'34""955",1,"1'35""271",108.64,2019-11-09,2019,Kawasaki,C1,Z125
499,149,中村 文勝,D:α-13SP,D:Q4,"1'24""244",0,"1'24""361",0,"1'24""244",108.98,2019-06-16,2019,Kawasaki,A,Z1000
500,154,清野 雅之,MZ:レーステック,D:Q4,"1'20""781",0,"1'21""185",0,"1'20""781",104.5,2019-06-16,2019,Honda,A,CBR600RR
501,150,渡辺 藤太,D:α-13SP,D:α-13SP,"1'34""355",0,"1'37""067",1,"1'34""355",107.6,2019-11-09,2019,Honda,C1,VTR250
502,155,中澤 伸彦,D:α-13SP,D:Q4,"1'34""670",0,"1'33""252",0,"1'33""252",106.34,2019-11-09,2019,Suzuki,A,GSX-R1000
503,131,寺田 和志,D:α-13SP,D:α-13SP,"1'44""960",1,"1'50""549",1,"1'45""960",112.92,2018-08-18,2018,Honda,C2,VTR250
